PID, Clients, Delay (ms)
14716,8 Pubs and Subs ,1.21
14717,8 Pubs and Subs ,3.17
14717,8 Pubs and Subs ,3.63
14717,8 Pubs and Subs ,4.06
14717,8 Pubs and Subs ,4.06
14718,8 Pubs and Subs ,0.58
14718,8 Pubs and Subs ,1.14
14718,8 Pubs and Subs ,1.76
14718,8 Pubs and Subs ,1.76
14719,8 Pubs and Subs ,0.43
14719,8 Pubs and Subs ,1.10
14719,8 Pubs and Subs ,1.37
14719,8 Pubs and Subs ,1.87
14720,8 Pubs and Subs ,0.56
14720,8 Pubs and Subs ,0.61
14720,8 Pubs and Subs ,1.15
14720,8 Pubs and Subs ,1.15
14721,8 Pubs and Subs ,3.11
14721,8 Pubs and Subs ,3.12
14721,8 Pubs and Subs ,3.14
14721,8 Pubs and Subs ,3.73
14722,8 Pubs and Subs ,0.44
14722,8 Pubs and Subs ,1.42
14722,8 Pubs and Subs ,2.04
14722,8 Pubs and Subs ,2.61
14723,8 Pubs and Subs ,13.03
14723,8 Pubs and Subs ,13.03
14723,8 Pubs and Subs ,13.04
14723,8 Pubs and Subs ,13.53
14724,8 Pubs and Subs ,0.53
14724,8 Pubs and Subs ,1.10
14724,8 Pubs and Subs ,1.69
14724,8 Pubs and Subs ,2.28
14725,8 Pubs and Subs ,1.87
14725,8 Pubs and Subs ,1.89
14725,8 Pubs and Subs ,1.87
14725,8 Pubs and Subs ,1.96
14726,8 Pubs and Subs ,1.98
14726,8 Pubs and Subs ,2.70
14726,8 Pubs and Subs ,3.34
14726,8 Pubs and Subs ,3.34
14727,8 Pubs and Subs ,0.42
14727,8 Pubs and Subs ,0.45
14727,8 Pubs and Subs ,0.47
14727,8 Pubs and Subs ,1.01
14728,8 Pubs and Subs ,0.55
14728,8 Pubs and Subs ,0.85
14728,8 Pubs and Subs ,1.74
14728,8 Pubs and Subs ,2.56
14730,8 Pubs and Subs ,0.57
14730,8 Pubs and Subs ,1.57
14730,8 Pubs and Subs ,1.95
14730,8 Pubs and Subs ,2.64
14731,8 Pubs and Subs ,0.87
14731,8 Pubs and Subs ,2.49
14731,8 Pubs and Subs ,2.95
14731,8 Pubs and Subs ,3.39
14729,8 Pubs and Subs ,3.11
14729,8 Pubs and Subs ,3.32
14729,8 Pubs and Subs ,3.33
14729,8 Pubs and Subs ,3.71
14732,8 Pubs and Subs ,0.64
14732,8 Pubs and Subs ,0.73
14732,8 Pubs and Subs ,1.02
14732,8 Pubs and Subs ,1.23
