Clients, Delay (ms)
16 Pubs and Subs ,-586.69
16 Pubs and Subs ,-676.55
16 Pubs and Subs ,-659.53
16 Pubs and Subs ,-473.32
16 Pubs and Subs ,-444.23
16 Pubs and Subs ,-431.89
16 Pubs and Subs ,-413.18
16 Pubs and Subs ,-433.68
16 Pubs and Subs ,-314.49
16 Pubs and Subs ,-185.22
16 Pubs and Subs ,-281.25
16 Pubs and Subs ,-227.65
16 Pubs and Subs ,-225.88
16 Pubs and Subs ,-350.89
16 Pubs and Subs ,-234.52
16 Pubs and Subs ,-247.03
16 Pubs and Subs ,-202.24
16 Pubs and Subs ,-126.71
16 Pubs and Subs ,-178.36
16 Pubs and Subs ,-196.03
16 Pubs and Subs ,-84.74
16 Pubs and Subs ,-18.66
16 Pubs and Subs ,-74.37
16 Pubs and Subs ,-73.86
16 Pubs and Subs ,-86.71
16 Pubs and Subs ,94.90
16 Pubs and Subs ,138.46
16 Pubs and Subs ,186.91
16 Pubs and Subs ,248.01
16 Pubs and Subs ,124.52
16 Pubs and Subs ,215.57
16 Pubs and Subs ,237.25
16 Pubs and Subs ,226.75
16 Pubs and Subs ,249.14
16 Pubs and Subs ,149.66
16 Pubs and Subs ,138.52
16 Pubs and Subs ,262.77
16 Pubs and Subs ,289.00
16 Pubs and Subs ,199.67
16 Pubs and Subs ,344.58
16 Pubs and Subs ,381.40
16 Pubs and Subs ,381.75
16 Pubs and Subs ,616.27
16 Pubs and Subs ,565.29
16 Pubs and Subs ,690.48
16 Pubs and Subs ,605.82
16 Pubs and Subs ,608.87
16 Pubs and Subs ,596.37
16 Pubs and Subs ,499.35
16 Pubs and Subs ,726.15
16 Pubs and Subs ,712.87
16 Pubs and Subs ,617.83
16 Pubs and Subs ,582.15
16 Pubs and Subs ,728.76
16 Pubs and Subs ,741.54
16 Pubs and Subs ,769.78
16 Pubs and Subs ,754.92
16 Pubs and Subs ,791.97
16 Pubs and Subs ,1076.28
16 Pubs and Subs ,998.87
16 Pubs and Subs ,1106.73
16 Pubs and Subs ,1039.86
16 Pubs and Subs ,970.71
16 Pubs and Subs ,1045.39
16 Pubs and Subs ,1034.78
16 Pubs and Subs ,879.18
16 Pubs and Subs ,1052.85
16 Pubs and Subs ,1013.89
16 Pubs and Subs ,1007.04
16 Pubs and Subs ,1112.95
16 Pubs and Subs ,1113.46
16 Pubs and Subs ,1139.64
16 Pubs and Subs ,1168.71
16 Pubs and Subs ,1193.00
16 Pubs and Subs ,1423.28
16 Pubs and Subs ,1443.64
16 Pubs and Subs ,1371.59
16 Pubs and Subs ,1352.63
16 Pubs and Subs ,1383.91
16 Pubs and Subs ,1470.88
16 Pubs and Subs ,1389.22
16 Pubs and Subs ,1427.39
16 Pubs and Subs ,1501.85
16 Pubs and Subs ,1323.02
16 Pubs and Subs ,1438.84
16 Pubs and Subs ,1521.45
16 Pubs and Subs ,1502.60
16 Pubs and Subs ,1538.79
16 Pubs and Subs ,1547.07
16 Pubs and Subs ,1584.80
16 Pubs and Subs ,1593.60
16 Pubs and Subs ,1771.34
16 Pubs and Subs ,1781.93
16 Pubs and Subs ,1866.31
16 Pubs and Subs ,1788.88
16 Pubs and Subs ,1778.44
16 Pubs and Subs ,1753.44
16 Pubs and Subs ,1821.24
16 Pubs and Subs ,1932.27
16 Pubs and Subs ,1857.60
16 Pubs and Subs ,1869.17
16 Pubs and Subs ,1891.69
16 Pubs and Subs ,1785.50
16 Pubs and Subs ,1938.70
16 Pubs and Subs ,1975.17
16 Pubs and Subs ,2014.38
16 Pubs and Subs ,1844.68
16 Pubs and Subs ,1980.80
16 Pubs and Subs ,1993.93
16 Pubs and Subs ,1896.62
16 Pubs and Subs ,2210.78
16 Pubs and Subs ,2240.19
16 Pubs and Subs ,2282.71
16 Pubs and Subs ,2179.55
16 Pubs and Subs ,2277.47
16 Pubs and Subs ,2240.72
16 Pubs and Subs ,2349.34
16 Pubs and Subs ,2253.04
16 Pubs and Subs ,2316.76
16 Pubs and Subs ,2348.61
16 Pubs and Subs ,1990.82
16 Pubs and Subs ,2363.07
16 Pubs and Subs ,2367.41
16 Pubs and Subs ,2473.16
16 Pubs and Subs ,2461.88
16 Pubs and Subs ,2474.23
16 Pubs and Subs ,2463.82
16 Pubs and Subs ,2735.19
16 Pubs and Subs ,2667.32
16 Pubs and Subs ,2650.28
16 Pubs and Subs ,2727.11
16 Pubs and Subs ,2771.46
16 Pubs and Subs ,2403.72
16 Pubs and Subs ,2726.24
16 Pubs and Subs ,2763.71
16 Pubs and Subs ,2761.43
16 Pubs and Subs ,2785.80
16 Pubs and Subs ,2851.25
16 Pubs and Subs ,2867.55
16 Pubs and Subs ,2874.95
16 Pubs and Subs ,2936.94
16 Pubs and Subs ,2961.00
16 Pubs and Subs ,3003.45
16 Pubs and Subs ,3164.83
16 Pubs and Subs ,3071.54
16 Pubs and Subs ,3192.01
16 Pubs and Subs ,3159.43
16 Pubs and Subs ,3160.32
16 Pubs and Subs ,3189.85
16 Pubs and Subs ,3198.39
16 Pubs and Subs ,2909.48
16 Pubs and Subs ,3222.84
16 Pubs and Subs ,3231.34
16 Pubs and Subs ,3291.91
16 Pubs and Subs ,3318.98
16 Pubs and Subs ,3346.26
16 Pubs and Subs ,3368.89
16 Pubs and Subs ,3381.00
16 Pubs and Subs ,3558.67
16 Pubs and Subs ,3590.08
16 Pubs and Subs ,3598.19
16 Pubs and Subs ,3503.73
16 Pubs and Subs ,3613.22
16 Pubs and Subs ,3617.36
16 Pubs and Subs ,3630.19
16 Pubs and Subs ,3619.24
16 Pubs and Subs ,3668.02
16 Pubs and Subs ,3649.24
16 Pubs and Subs ,3670.60
16 Pubs and Subs ,3378.19
16 Pubs and Subs ,3641.69
16 Pubs and Subs ,3679.96
16 Pubs and Subs ,3796.41
16 Pubs and Subs ,3732.10
16 Pubs and Subs ,3905.52
16 Pubs and Subs ,4005.90
16 Pubs and Subs ,4014.49
16 Pubs and Subs ,3823.34
16 Pubs and Subs ,3992.34
16 Pubs and Subs ,4026.63
16 Pubs and Subs ,4004.89
16 Pubs and Subs ,4047.42
16 Pubs and Subs ,4066.73
16 Pubs and Subs ,4027.69
16 Pubs and Subs ,3807.02
16 Pubs and Subs ,3956.55
16 Pubs and Subs ,4098.59
16 Pubs and Subs ,4102.54
16 Pubs and Subs ,4094.39
16 Pubs and Subs ,4105.52
16 Pubs and Subs ,4219.15
16 Pubs and Subs ,4312.66
16 Pubs and Subs ,4429.23
16 Pubs and Subs ,4133.97
16 Pubs and Subs ,4250.66
16 Pubs and Subs ,4468.11
16 Pubs and Subs ,4102.51
16 Pubs and Subs ,4358.12
16 Pubs and Subs ,4489.78
16 Pubs and Subs ,4442.69
16 Pubs and Subs ,4286.50
16 Pubs and Subs ,4288.20
16 Pubs and Subs ,4593.82
16 Pubs and Subs ,4426.86
16 Pubs and Subs ,4462.19
16 Pubs and Subs ,4391.21
16 Pubs and Subs ,4428.03
16 Pubs and Subs ,4560.10
16 Pubs and Subs ,4632.49
16 Pubs and Subs ,4550.11
16 Pubs and Subs ,4696.09
16 Pubs and Subs ,4887.39
16 Pubs and Subs ,4614.79
16 Pubs and Subs ,4614.45
16 Pubs and Subs ,4644.20
16 Pubs and Subs ,4563.42
16 Pubs and Subs ,4871.05
16 Pubs and Subs ,4957.14
16 Pubs and Subs ,4818.57
16 Pubs and Subs ,4695.26
16 Pubs and Subs ,4959.85
